MoleculeType	Identifier	MoleculeName	
Proteins	P14210	UniProt:P14210 HGF	
Proteins	P08253	UniProt:P08253 MMP2	
Proteins	P18428	UniProt:P18428 LBP	
Proteins	P01189	UniProt:P01189 POMC	
Proteins	P03956	UniProt:P03956 MMP1	
Proteins	P35372	UniProt:P35372 OPRM1	
Proteins	P41143	UniProt:P41143 OPRD1	
Proteins	P02751	UniProt:P02751 FN1	
Proteins	O15230	UniProt:O15230 LAMA5	
Proteins	P08123	UniProt:P08123 COL1A2	
Proteins	P00488	UniProt:P00488 F13A1	
Proteins	O00626	UniProt:O00626 CCL22	
Proteins	P04083	UniProt:P04083 ANXA1	
Proteins	Q8N6P7	UniProt:Q8N6P7 IL22RA1	
Proteins	Q9GZX6	UniProt:Q9GZX6 IL22	
Proteins	Q13007	UniProt:Q13007 IL24	
Proteins	Q6UXL0	UniProt:Q6UXL0 IL20RB	
Proteins	Q9UHF4	UniProt:Q9UHF4 IL20RA	
Proteins	Q9NYY1	UniProt:Q9NYY1 IL20	
Proteins	Q8IZI9	UniProt:Q8IZI9 IFNL3	
Proteins	Q8IZJ0	UniProt:Q8IZJ0 IFNL2	
Proteins	Q969J5	UniProt:Q969J5 IL22RA2	
Proteins	P52630	UniProt:P52630 STAT2	
Proteins	Q9UHD0	UniProt:Q9UHD0 IL19	
Proteins	Q9NPH9	UniProt:Q9NPH9 IL26	
Proteins	P16871	UniProt:P16871 IL7R	
Proteins	P13232	UniProt:P13232 IL7	
Proteins	Q9HC73	UniProt:Q9HC73 CRLF2	
Proteins	Q969D9	UniProt:Q969D9 TSLP	
Proteins	O14508	UniProt:O14508 SOCS2	
Proteins	Q9NSE2	UniProt:Q9NSE2 CISH	
Proteins	P55895	UniProt:P55895 RAG2	
Proteins	P15918	UniProt:P15918 RAG1	
Proteins	Q9NSI6	UniProt:Q9NSI6 BRWD1	
Proteins	P68431	UniProt:P68431 H3C1	
Proteins	Q71DI3	UniProt:Q71DI3 H3C15	
Proteins	P35568	UniProt:P35568 IRS1	
Proteins	Q9Y4H2	UniProt:Q9Y4H2 IRS2	
Proteins	P51532	UniProt:P51532 SMARCA4	
Proteins	P08887-2	UniProt:P08887-2 IL6R	
Proteins	P40189-1	UniProt:P40189-1 IL6ST	
Proteins	P40189-2	UniProt:P40189-2 IL6ST	
Proteins	P42224-1	UniProt:P42224-1 STAT1	
Proteins	P42702	UniProt:P42702 LIFR	
Proteins	P26992	UniProt:P26992 CNTFR	
Proteins	Q9UBD9	UniProt:Q9UBD9 CLCF1	
Proteins	P26441	UniProt:P26441 CNTF	
Proteins	Q14626	UniProt:Q14626 IL11RA	
Proteins	P20809	UniProt:P20809 IL11	
Proteins	Q99650	UniProt:Q99650 OSMR	
Proteins	Q16619	UniProt:Q16619 CTF1	
Proteins	Q8NI17	UniProt:Q8NI17 IL31RA	
Proteins	Q6EBC2	UniProt:Q6EBC2 IL31	
Proteins	Q9HBE5	UniProt:Q9HBE5 IL21R	
Proteins	Q9HBE4	UniProt:Q9HBE4 IL21	
Proteins	P06239	UniProt:P06239 LCK	
Proteins	Q14289	UniProt:Q14289 PTK2B	
Proteins	Q01113	UniProt:Q01113 IL9R	
Proteins	P15248	UniProt:P15248 IL9	
Proteins	Q13261	UniProt:Q13261 IL15RA	
Proteins	P40933	UniProt:P40933 IL15	
Proteins	P62993	UniProt:P62993 GRB2	
Proteins	Q07890	UniProt:Q07890 SOS2	
Proteins	O00182	UniProt:O00182 LGALS9	
Proteins	Q8TDQ0	UniProt:Q8TDQ0 HAVCR2	
Proteins	Q13651	UniProt:Q13651 IL10RA	
Proteins	Q99731	UniProt:Q99731 CCL19	
Proteins	P78556	UniProt:P78556 CCL20	
Proteins	P13236	UniProt:P13236 CCL4	
Proteins	P13501	UniProt:P13501 CCL5	
Proteins	P16619	UniProt:P16619 CCL3L1	
Proteins	P10147	UniProt:P10147 CCL3	
Proteins	P19875	UniProt:P19875 CXCL2	
Proteins	P09341	UniProt:P09341 CXCL1	
Proteins	P02778	UniProt:P02778 CXCL10	
Proteins	P42081	UniProt:P42081 CD86	
Proteins	P33681	UniProt:P33681 CD80	
Proteins	P19438	UniProt:P19438 TNFRSF1A	
Proteins	P25105	UniProt:P25105 PTAFR	
Proteins	P32246	UniProt:P32246 CCR1	
Proteins	P51681	UniProt:P51681 CCR5	
Proteins	P41597	UniProt:P41597 CCR2	
Proteins	P21462	UniProt:P21462 FPR1	
