ENTREZID,stat
5746,1.561813146
4909,1.559931751
4162,1.542747545
5692,1.540801155
6462,1.539907546
57502,1.524286115
57412,1.524221288
54810,1.517205732
23112,1.515132848
203,1.511977141
7432,1.477194756
843,1.468578424
9848,1.467719007
29767,1.461774027
847,1.444183974
63036,1.433096129
11059,1.432104631
56893,1.416284147
1740,1.409177538
5052,1.408698717
8942,1.407553945
8658,1.403955193
80723,1.387432773
1191,1.386244724
9837,1.385501762
5078,1.382352199
7298,1.37705178
5937,1.375680618
51667,1.372865976
8575,1.367965618
2668,1.366690994
3683,1.364434408
6208,1.361253653
8074,1.356740708
2972,1.355123602
2597,1.353413241
154790,1.343618168
7323,1.340303492
23386,1.33955826
1215,1.338368695
374,1.336323263
27132,1.334888388
2305,1.333933517
26040,1.32921557
10135,1.313236952
7132,1.31154509
283,1.304806127
6695,1.298987368
1432,1.297448
5444,1.296477307
6631,1.29344831
6902,1.292692471
427,1.279681787
10477,1.273696023
2815,1.262798999
7422,1.257629965
2876,1.253196596
5717,1.249395765
5479,1.249204647
3055,1.245488914
6810,1.244525588
2908,1.241486275
54165,1.239743873
3561,1.232168023
5226,1.227868447
23433,1.227676463
3156,1.221812716
4240,1.218769791
633,1.218037996
55364,1.206325027
65125,1.202879371
10951,1.198475779
80790,1.193139906
9230,1.189775333
645,1.189670247
9863,1.188351799
3467,1.186656065
51225,1.183397486
7297,1.181701989
55554,1.180754718
4914,1.17587946
760,1.167570318
9965,1.166290227
404037,1.155962094
229,1.152861162
657,1.146244356
5049,1.141039463
5464,1.140437731
60401,1.139113757
5504,1.135730087
57862,1.133535357
23657,1.132570161
78989,1.131197494
6633,1.128245484
25802,1.124143691
29789,1.123336826
2251,1.120229565
23469,1.115301743
8170,1.112225886
6612,1.109215541
3952,1.101570477
3562,1.101540156
5055,1.101289512
4835,1.096513261
10458,1.094977606
132,1.073474253
735,1.070882826
174,1.070188862
577,1.060027673
124540,1.056652406
79077,1.05606686
5289,1.037354973
6786,1.036656475
79154,1.035549354
5702,1.028053234
10617,1.023883989
3838,1.02374439
2208,1.020630802
7042,1.01599955
5347,1.013977561
5009,0.999151074
715,0.992595069
768,0.989115521
387,0.986139051
9519,0.976915875
3157,0.976399072
7390,0.975849744
2255,0.971964965
5144,0.965571563
3963,0.961761828
10321,0.961002578
1442,0.959493506
55869,0.954384436
27330,0.954154475
8773,0.948944314
29982,0.941513263
955,0.934716326
4070,0.934410383
3932,0.928278443
63827,0.927800374
5272,0.923736503
50865,0.916805223
1978,0.909741061
3953,0.908747097
11167,0.904864462
3553,0.900648542
8407,0.899478951
5478,0.897316755
5327,0.895722957
11080,0.895329115
3630,0.88872135
253559,0.882197972
6464,0.880102736
1981,0.870708414
5465,0.863749552
898,0.86229138
29968,0.8621005
10730,0.846190355
4282,0.841482043
471,0.829160145
54567,0.827838418
59084,0.826332804
5979,0.822807827
5223,0.82267978
181,0.822457556
6906,0.820912184
6774,0.818303191
8999,0.818268801
7389,0.815835446
811,0.814342113
53,0.808852228
5588,0.796774953
151176,0.793528639
84309,0.788909329
391356,0.787228063
6690,0.779406392
318,0.775472306
7174,0.774245086
7448,0.773438194
4088,0.773347872
7314,0.772489633
2309,0.763940405
5595,0.763383234
64109,0.759653198
1512,0.757877377
1047,0.755749662
5566,0.751649295
23301,0.742344272
9910,0.742015928
3381,0.739026005
7035,0.736635801
10694,0.729848067
282973,0.72595519
29916,0.714276029
51652,0.713577968
5335,0.712332426
5792,0.710463953
163,0.706169794
9493,0.706119911
9397,0.703043425
5777,0.696223327
2185,0.691507986
7150,0.682518187
730,0.678931472
173,0.677171782
1463,0.676020814
3486,0.672272893
3574,0.67027209
7329,0.669320399
11060,0.664188408
572,0.663839333
2950,0.661794625
2289,0.660748535
799,0.660345428
8569,0.659279746
3697,0.658302656
2272,0.65468368
5896,0.65255036
2188,0.644317869
207,0.640991591
613210,0.630331964
2036,0.628591462
5341,0.626830056
3700,0.624779973
3600,0.622506243
6727,0.61869509
3385,0.617608339
8654,0.616289025
10924,0.610100087
4041,0.603324512
4345,0.602738841
3383,0.59545245
27248,0.594432581
27044,0.586908499
11284,0.585570557
1520,0.585480889
266722,0.584036246
29104,0.578050015
1399,0.571971107
5111,0.570583659
51060,0.570490525
25932,0.560545506
4049,0.557517156
4236,0.548239834
54858,0.544462939
4860,0.544273697
3149,0.540307381
4897,0.537134521
9026,0.536830783
79811,0.533745134
7293,0.529802695
5830,0.523627461
10551,0.521799916
204,0.516783625
933,0.515028981
6905,0.507192822
55968,0.494459539
123228,0.493672083
6746,0.493347277
1437,0.481951349
51588,0.478935365
9475,0.47722013
4830,0.47655313
23670,0.475479383
9046,0.459140622
2539,0.458628262
5594,0.449257902
4772,0.449100278
8615,0.443157324
8905,0.440986776
4779,0.440190636
