SeqId,UniProtID
24940-3,O14920
3025-50,P09038
10356-21,P05412
21955-36,P46379
19153-53,Q15777
13748-4,P80075
3042-7,P02144
7959-34,Q9ULB5
8304-50,O00300
9224-20,P16471
2687-2,Q16674
9907-216,O95271
21967-20,P28845
18401-18,Q96Q83
3151-6,P01589
16616-137,P13929
2855-49,P27361
11545-9,Q92956
19169-88,O43427
5063-12,Q9BZW8
3890-8,P07195
21875-31,Q9H8U3
3448-13,P06213
4132-27,P19883
24431-32,Q8N1G2
10855-55,O15031
9854-36,P15121
3837-6,P43403
27279-36,P48788
9185-15,P04155
3623-84,O95711
8295-16,O95897
3796-79,Q9BY76
19767-20,P24864
20550-38,Q9P121
23317-10,Q6UWP2
10365-132,P29460
21109-1,Q96G28
21331-19,Q4VC05
10339-48,P09104
15667-39,P12644
3040-59,P10147
3504-58,P81172
11303-7,Q9Y3Z3
24938-7,P63010
6491-59,Q9H2R5
8368-102,P20333
3613-62,O00602
4708-3,P14061
26070-9,O15394
14073-31,P02790
6507-16,O15394
3495-15,P80162
5634-39,Q9H488
5228-25,Q02241
3029-52,Q9NNX6
6990-44,Q9HCN8
22977-18,O94992
4840-73,P09919
2915-6,P12004
4540-11,P45973
18841-1,Q9UIV8
17495-141,Q9NTG7
4355-13,Q9UIK4
12351-25,P42224
7266-4,Q86WD7
21382-70,Q9H777
8900-28,Q92859
17453-34,P00450
3366-51,Q16610
22491-10,O43679
22953-85,P17676
2937-10,P02649
5353-89,P18510
17166-4,P55075
2992-59,Q96F46
8400-74,P07492
5897-58,P07492
14634-13,P22888
21144-160,O00141
3332-57,Q6ZVN8
3516-60,P48061
21221-67,P50453
3519-3,Q92583
3471-49,O75716
11280-6,Q99259
21758-65,Q9HC62
15474-7,Q13526
24651-1,Q16799
9303-9,O75144
4130-71,P10767
3186-2,P06681
5698-60,P22105
33030-6,P49908
21987-76,P06858
2567-5,P05156
9859-180,P21673
20423-40,Q99828
19280-29,P61077
5748-20,Q13510
8033-1,Q9H819
7137-8,Q9UJ68
20958-13,Q9ULC3
24475-45,Q9UMY4
15395-15,P09488
22080-22,Q8WZ19
10772-21,Q8N6G5
16304-6,Q9BXB1
7200-4,Q9ULH4
7092-7,Q8N807
3611-70,P42892
7202-107,Q9H3T2
2811-27,Q15389
14127-240,P01574
5248-68,P30405
3628-3,P36507
14131-37,P52799
4435-66,Q6UWV6
2633-52,P78552
24723-58,P20042
25465-42,Q5VWP3
7933-75,Q9P0K1
11248-43,P10746
23660-112,O60662
21999-61,P80303
11293-14,Q6UXK5
16318-12,P37023
16907-3,Q8N3J6
14108-15,P01137
5490-53,Q08629
5085-18,Q9UHF4
10506-53,O15173
8239-223,P06276
16015-19,P24298
21887-2,Q8IUK8
2190-55,P03951
2719-3,Q99062
11438-6,P25686
8480-29,Q12805
14334-3,P35243
24499-36,Q5TDP6
31524-5,P48061
2917-3,O14788
16606-85,P15121
7831-39,P02753
21676-17,P05120
2794-60,P00441
3283-21,Q15582
3727-35,P10082
8069-85,P07766
17682-1,P15529
9532-5,Q9NX94
19289-29,P06132
2970-60,P15514
21491-7,Q16853
2751-16,P20160
3309-2,P12318
4842-62,P51654
5480-49,P13501
4874-3,P03950
6620-82,Q96FE5
15444-45,P48594
2833-20,Q9Y5K2
22136-9,Q9Y2C4
23581-131,Q9UBU3
8094-20,Q8N5K1
2750-3,P02647
2436-49,Q9H2A7
5792-8,P02771
15385-116,P12104
8280-238,P04004
10364-6,Q15796
3044-3,P55774
26281-1,Q08431
4423-77,Q07817
4480-59,P01024
13572-43,O00231
18882-7,Q9H4D0
18925-24,P28066
4908-6,P17813
16818-200,Q9H5V8
15591-28,P07203
3132-1,P49767
3593-72,P42574
9451-20,P07911
4976-57,P46108
8971-9,Q9ULB1
22792-21,Q9UGM6
19147-6,Q9UHV8
22414-127,Q9UKI8
12473-48,Q9NXV2
12554-10,O75771
13669-6,P22607
18185-118,P05062
2441-2,O15520
5854-60,P10636
11307-33,Q9H0M0
4851-25,P01583
7142-5,P15169
12341-8,Q16828
3055-54,P24394
20120-101,Q86WK6
13089-6,Q16665
15499-11,O75882
24486-1,Q9H165
2806-49,P36896
10063-10,Q9NW38
21167-33,Q8WUK0
3043-49,P09486
24273-43,Q8N427
11949-25,P01133
3181-50,P25774
5810-25,P13385
3077-66,P00742
5089-11,P16871
4232-19,P08069
12370-30,Q13790
3178-5,P53634
32685-35,P02750
8893-29,P09874
5339-49,P06702
12497-29,Q9BRJ7
5340-24,Q92851
19332-1,Q9Y3A3
2585-2,P01236
7909-37,P04278
6495-14,P05305
22150-2,Q06547
20918-28,P09234
3640-14,P30533
2683-1,P01024
9013-60,O95631
11355-10,Q9GZV4
21740-26,O94782
12976-49,O60504
23396-21,Q6IBS0
7854-38,Q68D85
7660-21,P67936
12508-9,Q9Y3E7
12617-2,Q9Y6E0
4282-3,P62826
13090-17,P06703
5465-32,O60243
8458-16,P37840
8960-3,Q6P179
15368-3,Q8N8U9
25300-39,Q9UDY8
8664-36,Q504Y2
24266-2,Q14814
4187-49,P52209
4542-24,P10909
9930-48,O75899
13067-5,Q13976
14095-1,P26718
22985-160,P18065
18158-45,Q14790
5028-59,Q86VB7
7968-15,O95727
35262-59,P49190
14023-84,P21815
13568-30,P55036
17176-13,O75475
3581-53,P02765
5581-28,Q08830
25308-8,P53667
5822-22,P39905
12689-56,O15143
17702-53,P22309
28281-20,P14770
8923-94,Q8N428
2635-61,Q6UX15
7199-3,O14994
10630-5,Q9BUP3
4988-49,P22455
8982-65,P49746
2609-59,P01034
20921-1,Q8TF65
21685-29,P43146
9783-75,Q9NVH1
21111-49,Q9NZL4
12692-56,Q8TEK3
15573-110,O14594
11229-16,O75460
25879-6,Q92993
2875-15,P20226
3708-62,P01023
12954-71,Q07869
24958-3,P48382
3800-71,P12277
2670-67,P06732
5021-13,Q15181
20463-315,Q9P2X3
5088-175,Q5VWK5
20225-119,P42229
4905-63,Q14019
2843-13,O43291
12426-19,Q9H8S9
24914-10,Q15910
13130-150,P52789
2682-68,P10809
5260-80,P29597
12735-39,O75534
5100-53,Q14108
5834-18,P15248
20093-9,P19320
7852-9,Q9H2K0
10382-1,Q9Y5C1
3799-11,P07451
3340-53,P35443
9378-6,Q8N539
12848-9,Q92974
22801-83,Q8NHR7
24901-4,P09327
9332-6,Q30KP8
35712-15,O60609
8237-56,Q6X4U4
5337-64,P42081
15431-31,P00480
18225-13,Q9NRV9
2622-18,P30519
22010-36,O75569
6408-2,P55103
9598-23,Q96PZ7
10741-22,P09603
13706-12,P42701
8225-86,P29323
9873-17,P11474
3603-60,Q9BXN2
11081-1,P21695
4491-4,Q01344
2797-56,P04114
5846-24,Q13253
2851-63,P01031
21579-35,Q14896
3339-33,P35442
20943-14,Q9GZZ1
13613-23,Q9Y6K8
21121-31,Q8TBC4
3284-75,P21810
9815-5,Q07960
20530-2,Q8NFY4
14711-27,Q15828
12726-3,O00287
13109-82,Q7Z3B1
4140-3,P13232
4493-92,P20809
6225-3,Q16651
2692-74,P14555
19584-33,P31371
25076-2,Q13228
8424-269,P35222
4878-3,P00742
20432-6,Q9NXJ5
6404-20,O75973
21750-25,Q92560
3538-26,P20711
5635-66,Q9NZC2
3317-33,O43464
2837-3,P08581
3389-7,P05154
2828-82,O43278
5018-68,P30041
8866-53,Q9NXS2
2212-69,P00750
5489-18,P31948
16918-198,O15455
4151-6,P00747
14229-5,O95396
2619-72,P09758
3477-63,P04629
3634-5,Q14982
8659-68,O95866
4996-66,P04196
2977-7,Q9UNE0
15653-9,Q03692
10576-7,Q6UX71
6232-54,P42081
21366-7,Q96DH6
19189-2,P54578
10558-26,Q9HC56
21577-35,Q13451
13939-14,Q16851
19578-19,O60496
6296-36,Q8WWZ8
8099-42,Q9BUD6
2879-9,P01011
3343-1,Q03154
13011-20,P46783
22045-8,Q6EEV6
22504-3,Q92802
11462-8,O43251
6077-63,Q9NZK5
25218-10,Q9Y6A9
21693-14,P55290
4337-49,P02741
9365-91,Q5T1H1
13708-56,O60259
3534-14,P29965
6478-2,A6NGN9
3367-8,Q9UGM5
3173-49,Q02083
3038-9,O14625
10512-13,P32927
15390-3,P22466
12659-13,Q9NTK5
5065-8,Q01151
19596-18,Q92994
5954-62,P01270
22474-28,O43248
5011-11,P43490
11288-26,P49902
5112-73,P41217
13654-1,O75116
5463-22,P54826
10672-75,P07988
10760-107,P48058
3212-30,Q9NR71
9278-9,P48061
5350-14,Q9Y625
7089-42,Q9BT88
4922-13,Q99731
5918-5,Q06323
3005-5,P18031
2571-12,P17936
18342-2,Q9Y617
3522-57,P01282
19331-18,Q9UQB8
2836-68,P80188
5008-51,P04179
