"","Protein","p_value","FDR","OverexpressedAt","emmean"
"92","P35968",2.27660978645172e-06,3.68922500118589e-05,"D5",12.9176975038591
"93","Q9NZC2",2.28731950073525e-06,3.68922500118589e-05,"D3",12.4705085368536
"94","Q9Y625",2.31968023230368e-06,3.70161739197396e-05,"D1",9.95020255624129
"95","Q7Z5L3",2.74790326359584e-06,4.32792874795211e-05,"D5",8.29666122647727
"96","P11142",2.76987439868935e-06,4.32792874795211e-05,"D1",11.7570199283831
"97","P08697",2.89637900417503e-06,4.47893660439437e-05,"D2",13.2695326764117
"98","Q8IXJ6",2.96096389987632e-06,4.53208760185151e-05,"D1",12.8865757375867
"99","Q8WWZ8",3.13068736728338e-06,4.74346570800512e-05,"D1",9.4475947513333
"100","Q86UN2",3.16893695136625e-06,4.75236896551883e-05,"D5",11.015613294406
"101","A6NGB7",3.19992843678268e-06,4.75236896551883e-05,"D5",9.2886876185168
"102","P52789",3.37544717040894e-06,4.9638928976602e-05,"D1",10.7206398865376
"103","P07951",3.49397186746298e-06,5.088308544849e-05,"D3",11.6270172232031
"104","P11474",3.54346693718359e-06,5.11076962093787e-05,"D4",9.4180268325764
"105","O00429",3.72118335166906e-06,5.31597621667008e-05,"D3",12.030625950407
"106","Q01469",3.85933271521827e-06,5.46131988002585e-05,"D3",9.66288085882015
"107","P16619",4.08005118872398e-06,5.71969792811773e-05,"D3",10.6836735553295
"108","P32970",4.71708429387329e-06,6.51816738394911e-05,"D3",8.5168900995535
"109","P29323",4.73653496566968e-06,6.51816738394911e-05,"D5",10.9214569214576
"110","Q9NQ79",4.94351662390444e-06,6.74115903259696e-05,"D5",10.3259312667458
"111","P02792",5.23575023683474e-06,7.01216549576081e-05,"D2",13.4078030110718
"112","O95897",5.20822725362735e-06,7.01216549576081e-05,"D5",14.8199872280804
"113","P13725",5.39608447670084e-06,7.16294399562058e-05,"D3",11.6033978171672
"114","P06276",5.64406050538637e-06,7.42639540182417e-05,"D5",15.9048818248619
"115","O95168",5.83286180321232e-06,7.60808061288563e-05,"D3",10.4399307118782
"116","P10451",5.9858648243121e-06,7.74034244523116e-05,"D2",9.74025781233454
"117","P29460",6.11620199311163e-06,7.7939242580364e-05,"D4",10.0742447464623
"118","O00626",6.13122041632197e-06,7.7939242580364e-05,"D4",14.4513381863559
"119","Q6YHK3",6.56571767006183e-06,8.27611471016197e-05,"D5",9.95333873078286
"120","P09603",6.78739227977653e-06,8.48424034972066e-05,"D2",7.18205591317195
"121","Q9NZK5",7.0646342958362e-06,8.75781111054075e-05,"D5",13.0767876059502
"122","P35243",7.21627322139909e-06,8.87246707549068e-05,"D2",8.20722117002704
"123","P29460.1",7.37854064199855e-06,8.97209554551036e-05,"D4",8.1630462565537
"124","P51671",7.41693231762189e-06,8.97209554551036e-05,"D5",12.9511570533836
"125","Q01344",7.80280618326561e-06,9.36336741991874e-05,"D2",10.6987490479813
"126","P15121",8.34330438700506e-06,9.93250522262508e-05,"D1",13.6164041559894
"127","P39900",9.22847421899526e-06,0.000108997726996007,"D3",10.6354447757583
"128","P51692",9.47071023552442e-06,0.000110984885572552,"D2",9.43692674409228
"129","Q8N539",1.05455522657364e-05,0.000122622700764377,"D3",8.77809606889083
"130","P07355",1.08362161825799e-05,0.000125033263645152,"D1",10.1511741608889
"131","Q9NNX6",1.22397188338725e-05,0.00014014945229625,"D1",10.9188056972434
"132","Q8WTV0",1.25074881818951e-05,0.000142130547521535,"D5",9.63077708429232
"133","P01215",1.26591357417496e-05,0.000142772207613717,"D3",11.3774007440241
"134","Q5JSQ8",1.39273482783223e-05,0.000155903152369279,"D3",10.9262296668253
"135","Q9H900",1.40657797944735e-05,0.000156286442160817,"D3",11.0024827576051
"136","P33151",1.43592212990535e-05,0.000158373764327796,"D5",13.171112620566
"137","P05060",1.46889862585216e-05,0.000160828316699141,"D1",9.23610371700783
"138","Q04721",1.49885118867155e-05,0.000162918607464298,"D5",11.9254562135869
"139","P26992",1.51632204294114e-05,0.000163631875137533,"D5",9.63446127079615
"140","O15394",1.57752535813338e-05,0.00016902057408572,"D5",12.2268236429576
"141","Q13145.1",1.6110744068168e-05,0.000171390894342213,"D3",10.9710343848767
"142","Q9H4F8",1.70066622602711e-05,0.000179647840777511,"D2",15.05667944005
"143","Q712K3",1.73780208017839e-05,0.000181021050018582,"D3",12.8312219739923
"144","Q6UVK1",1.72767268013161e-05,0.000181021050018582,"D3",8.91367712252925
"145","P11473",1.80760962180322e-05,0.000186994098807229,"D3",8.609099337751
"146","Q76M96",1.8240777252474e-05,0.000187405245744596,"D3",10.9035645869312
"147","P00338",1.86983326292329e-05,0.000190799312543193,"D1",15.8321540745638
"148","P31994",1.89759812028749e-05,0.000191033367814177,"D5",10.1486806887978
"149","O00182",1.89002788728112e-05,0.000191033367814177,"D3",9.83034806356531
"150","P22894",1.97981853059332e-05,0.000197981853059332,"D1",11.5630470453472
"151","O95631",2.01535080435632e-05,0.000200200411028773,"D2",9.35458013784687
"152","Q12860",2.03279668872721e-05,0.000200604936387554,"D5",14.9127275283345
"153","P06396",2.32476024752954e-05,0.000226437686447682,"D1",16.9098472620288
"154","P00533",2.3135203070319e-05,0.000226437686447682,"D5",13.9736558197472
"155","P80188",2.40547743269746e-05,0.000232788138648142,"D1",8.57485689978309
"156","P43220.1",2.63045739144684e-05,0.000252928595331427,"D4",9.10958047292444
"157","P10912",2.65015537105838e-05,0.000253199557744431,"D1",9.85168241351159
"158","P36941",2.90604450026599e-05,0.000275625675605737,"D3",13.2995442286033
"159","P01011",2.92163216142082e-05,0.000275625675605737,"D2",18.2823315601578
"160","O75146",3.02316926470789e-05,0.000283422118566365,"D1",8.72494086091479
"161","P05112",3.13273923449882e-05,0.000291870115015418,"D3",7.22268747397054
"162","Q96SI1",3.21121542012201e-05,0.000297334761122409,"D5",9.44229705953136
"163","Q02297",3.72660682852348e-05,0.00034293927869848,"D2",11.699287770677
"164","Q96MK3",3.84769341367566e-05,0.000351923178080091,"D2",10.8745484173938
"165","P35916",3.9477192753412e-05,0.000358062311783886,"D5",12.1262552407096
"166","Q05655",3.96255625040834e-05,0.000358062311783886,"D1",6.47307195528515
"167","P29536",4.14851235149734e-05,0.000372620869894971,"D1",11.1346755554377
